user_id,username,id,created_at_datetime,text,lang,reply_count,retweet_count,favorite_count,view_count,location,hashtags,in_reply_to,quote,quote_count,possibly_sensitive,scores,polaridad,sentimiento
199632789,viewnext,1781261510892732650,2024-04-19T10:00:13.000Z,"Abril es un mes de ferias   Nos hemos desplazado hasta la feria de empleo de Ourense EMPREGOinCAMPUS celebrada en la Universidad de Vigo.   Fue todo un éxito, donde más de 60 entidades públicas y privadas pudieron darse a conocer Esperamos la próxima  https://t.co/hvXPhJQzsV",es,0,0,0,59.0,null,null,null,null,0,false,"[[{score=0.8326047658920288, label=positive}, {score=0.057536326348781586, label=neutral}, {score=0.1098589301109314, label=negative}]]",0.78028214,Positivo
199632789,viewnext,1780853826259464587,2024-04-18T07:00:13.000Z,"Inspiradora charla de nuestras compis en Salamanca en el marco del programa sobre Mujeres y Tecnología  Esta vez, Mónica y Verónica visitaron el colegio Montessori de Salamanca y compartieron con los alumnos/as su perspectiva y experiencia en el sector tecnológico  https://t.co/HJ8D8YJU52",es,0,0,0,117.0,null,null,null,null,0,false,"[[{score=0.6955345273017883, label=positive}, {score=0.10129055380821228, label=neutral}, {score=0.2031749188899994, label=negative}]]",0.59365016,Neutral
199632789,viewnext,1780546710990704825,2024-04-17T10:39:51.000Z,"Quieres 𝙘𝙧𝙚𝙖𝙧 𝙩𝙪 𝙥𝙧𝙤𝙥𝙞𝙖 𝙥𝙖𝙜𝙞𝙣𝙖 𝙬𝙚𝙗 , pero te parece muy complicado Hoy te contamos como crear tu página desde cero con 𝙒𝙤𝙧𝙙𝙥𝙧𝙚𝙨𝙨  No te pierdas el nuevo post de #𝘽𝙡𝙤𝙜𝙏𝙝𝙚𝙉𝙚𝙭𝙩  A qué esperas para crear tu propia web  https://t.co/0TTDFmctGm",es,0,0,0,68.0,null,['𝘽𝙡𝙤𝙜𝙏𝙝𝙚𝙉𝙚𝙭𝙩'],null,null,0,false,"[[{score=0.2853896915912628, label=positive}, {score=0.2862620949745178, label=neutral}, {score=0.428348183631897, label=negative}]]",0.1433036,Neutral
199632789,viewnext,1780519088122368350,2024-04-17T08:50:05.000Z,El pasado lunes y martes la Universidad de Almería contó con nuestro stand en su feria de empleo.   Sin duda fue una buena ocasión para poder acceder a las últimas oportunidades laborales de todos los sectores y adentrarse en el mundo profesional  https://t.co/ddUytmmGqc,es,0,0,0,98.0,null,null,null,null,0,false,"[[{score=0.8751310706138611, label=positive}, {score=0.0765228271484375, label=neutral}, {score=0.048346102237701416, label=negative}]]",0.9033078,Positivo
199632789,viewnext,1780202287115190613,2024-04-16T11:51:14.000Z,Qué bien lo pasamos en la clausura del III Serious Game  José Carlos Andrés García tuvo la oportunidad de ser jurado de este concurso que se celebró la semana pasada en el CESEPI  Enhorabuena a todos/as En Viewnext os esperamos con los brazos abiertos  #ViewnextConLaFP https://t.co/CoomPOa0zo,es,0,0,0,140.0,null,['ViewnextConLaFP'],null,null,0,false,"[[{score=0.9045896530151367, label=positive}, {score=0.05087894946336746, label=neutral}, {score=0.04453141242265701, label=negative}]]",0.9109372,Positivo
847029690913181700,Mida_usal,1780138158321009008,2024-04-16T07:36:24.000Z,Hackathon sobre #IA generativa organizado por @CatedraAgile @viewnext @usal dirigido a estudiantes de Ingeniería Informática de @fcienciasusal y @EPSZ_USAL. Inscripciones hasta el 26 de abril de 2024. https://t.co/jlRYvWJ6zo,es,0,5,4,177.0,"Salamanca, Spain",['IA'],null,null,0,false,"[[{score=0.5598048567771912, label=positive}, {score=0.15977463126182556, label=neutral}, {score=0.2804204821586609, label=negative}]]",0.439159,Neutral
199632789,viewnext,1780129035323879780,2024-04-16T07:00:09.000Z,"El viernes pasado tocó sesión práctica de nuestro curso Scrum en el marco de la Cátedra Viewnext-USAL en Metodologías Agiles    En ella, los/as alumnos/as pudieron asimilar los conocimientos teóricos mediante distintas dinámicas y juegos.  #ViewnextEnLaUni #Agile #Scrum https://t.co/sv39tqMvGM",es,0,0,1,107.0,null,"['ViewnextEnLaUni', 'Agile', 'Scrum']",null,null,0,false,"[[{score=0.7055372595787048, label=positive}, {score=0.13691920042037964, label=neutral}, {score=0.15754348039627075, label=negative}]]",0.684913,Neutral
199632789,viewnext,1779833328176177443,2024-04-15T11:25:07.000Z,"La fiesta del talento llega al Viewnext Almería   En esta nueva edición, se puso en valor el esfuerzo y el compromiso de los compañeros/as del Centro de Innovación de Almería.  Además de las actividades, se destacó la labor de los Xherpas y las IT Girls   #TalentDay2024 https://t.co/aXp97MDeQ5",es,0,0,1,105.0,null,['TalentDay2024'],null,null,0,false,"[[{score=0.9665678143501282, label=positive}, {score=0.016857033595442772, label=neutral}, {score=0.016575204208493233, label=negative}]]",0.9668496,Positivo
199632789,viewnext,1778385055812837403,2024-04-11T11:30:12.000Z,Nuestras IT Girls no paran   La semana pasada nuestras compañeras Rocío y Almudena se desplazaron hasta el instituto Carlos III de Aguadulce Almería para dar una charla a los alumnos/as de Robótica y Computación   Estaremos encantados/as de volver   #TechWomenVN https://t.co/tm0oOAvFl8,es,0,1,2,160.0,null,['TechWomenVN'],null,null,0,false,"[[{score=0.6778036952018738, label=positive}, {score=0.14539070427417755, label=neutral}, {score=0.17680561542510986, label=negative}]]",0.64638877,Neutral
258801830,aecspain,1778356180626117075,2024-04-11T09:35:28.000Z,Viewnext se adhiere a la Declaración de Luxemburgo de la Red Europea de Promoción de la Salud en el Trabajo. https://t.co/yZ2FaHGEMr @viewnext https://t.co/yuNV7IQZcs,es,0,0,0,30.0,Madrid,null,null,null,0,false,"[[{score=0.5376365780830383, label=positive}, {score=0.17647819221019745, label=neutral}, {score=0.28588518500328064, label=negative}]]",0.42822957,Neutral
199632789,viewnext,1778334697413587224,2024-04-11T08:10:06.000Z,"Ya están de vuelta las IX Jornadas Nacionales de Investigación en Ciberseguridad    En Sevilla durante los días 27, 28 y 29 de Mayo.   Inscríbete antes del 5 de Mayo y aprovecha el descuento.   https://t.co/9XLn45dovG    #Ciberseguridad #JNIC2024 #CTF https://t.co/rNE2PXPfV4",es,0,0,0,109.0,null,"['Ciberseguridad', 'JNIC2024', 'CTF']",null,null,0,false,"[[{score=0.49637168645858765, label=positive}, {score=0.20709794759750366, label=neutral}, {score=0.2965303659439087, label=negative}]]",0.40693927,Neutral
199632789,viewnext,1777954726778151306,2024-04-10T07:00:14.000Z,No te pierdas nuestro post del blog para conocer varios proyectos que utilizan la Inteligencia Artificial para mejorar la forma en la que entendemos y administramos nuestros recursos naturales.   #BlogTheNext #IA  https://t.co/4ciLjjpExC https://t.co/TvSlFCfnjx,es,0,0,0,101.0,null,"['BlogTheNext', 'IA']",null,null,0,false,"[[{score=0.4104379117488861, label=positive}, {score=0.34171202778816223, label=neutral}, {score=0.24785006046295166, label=negative}]]",0.5042999,Neutral
199632789,viewnext,1777642361138323522,2024-04-09T10:19:00.000Z,Buenísima noticia para el avance del sector tecnológico español    IBM y el Gobierno de España colaborarán juntos para impulsar el avance de la IA y la supercomputación en España con lenguaje nativo en lengua española y lenguas co-oficiales    https://t.co/NonB2cCfWo https://t.co/Zc84kgRV7r,es,0,0,2,165.0,null,null,null,null,0,false,"[[{score=0.6342936158180237, label=positive}, {score=0.14801572263240814, label=neutral}, {score=0.21769069135189056, label=negative}]]",0.56461865,Neutral
199632789,viewnext,1777592297984553360,2024-04-09T07:00:04.000Z,"Arrancamos el martes  No podía ser de otra manera que dando la bienvenida a las nuevas incorporaciones al gran equipo de Viewnext    Bienvenidos/as a todos/as, ya sois #GenteViewnext   #Welcome2Viewnext https://t.co/5ldMINMqI0",es,0,0,0,136.0,null,"['GenteViewnext', 'Welcome2Viewnext']",null,null,0,false,"[[{score=0.8165409564971924, label=positive}, {score=0.11653262376785278, label=neutral}, {score=0.06692644208669662, label=negative}]]",0.86614716,Neutral
937864777,IES_M_Suanzes,1777254971773251612,2024-04-08T08:39:39.000Z,Gracias al Programa 4ESOEmpresa nuestras alumnas han podido conocer una gran empresa tecnológica como es @viewnext y el trabajo que realizan #4ESOEmpresa @ComunidadMadrid https://t.co/UhSHHLt8WX,es,0,0,0,45.0,Madrid,['4ESOEmpresa'],null,null,0,false,"[[{score=0.9074663519859314, label=positive}, {score=0.046216562390327454, label=neutral}, {score=0.04631718248128891, label=negative}]]",0.90736574,Positivo
199632789,viewnext,1777229923897204958,2024-04-08T07:00:07.000Z,Hemos vuelto a la radio   El viernes tuvimos la suerte de participar en el programa de Roberto Benito de Onda Cero Salamanca    Intervinieron nuestras compañeras Raquel y Noelia dando a conocer nuestra iniciativa 𝙈𝙪𝙟𝙚𝙧𝙚𝙨 𝙮 𝙏𝙚𝙘𝙣𝙤𝙡𝙤𝙜𝙞𝙖 https://t.co/JRaf4OGZ8d,es,0,0,1,160.0,null,null,null,null,0,false,"[[{score=0.8351829648017883, label=positive}, {score=0.07144305109977722, label=neutral}, {score=0.09337389469146729, label=negative}]]",0.8132521,Positivo
2929737317,OCRSalamanca,1776297909257969803,2024-04-05T17:16:38.000Z,MÁS DE UNO SALAMANCA  @viewnext da charlas en centros escolares para mostrar su trabajo y fomentar la incorporación de mujeres al ámbito de la informática y las nuevas tecnologías.   https://t.co/NPMDlSJSlZ https://t.co/Xv51Y5goxh,es,0,0,0,170.0,"C/ Bermejeros, 14 (Salamanca).",null,null,null,0,false,"[[{score=0.7290464043617249, label=positive}, {score=0.11135194450616837, label=neutral}, {score=0.1596016138792038, label=negative}]]",0.68079674,Neutral
2929737317,OCRSalamanca,1776227965342245150,2024-04-05T12:38:42.000Z,Más De Uno Salamanca 05/04/2024 https://t.co/NPMDlSJSlZ a través de @OndaCero_es @OndaCeroCR @felixrivas1 @usal @CsifSalamanca @TheAirInstitute @AspaceSalamanca @tillomarta @viewnext #LaLentejaMetalica @deficitnatura @anacarlos1972 #PacoNovelty @aytocarbajosa @HospSTrinidad,es,0,3,7,369.0,"C/ Bermejeros, 14 (Salamanca).","['LaLentejaMetalica', 'PacoNovelty']",null,null,0,false,"[[{score=0.5397627353668213, label=positive}, {score=0.18103642761707306, label=neutral}, {score=0.27920082211494446, label=negative}]]",0.44159836,Neutral
199632789,viewnext,1776209453899030563,2024-04-05T11:25:08.000Z,Buenas noticias   Viewnext se ha adherido recientemente a la declaración de Luxemburgo de la Red Europea de Promoción de Salud en el Trabajo. ENWHP    Pasamos a formar parte de la Red Española de Empresas Saludables.  Más información aquí  https://t.co/huHJv6OJhl https://t.co/3iAtZbIJz2,es,0,1,1,122.0,null,null,null,null,0,false,"[[{score=0.7507277131080627, label=positive}, {score=0.1031772717833519, label=neutral}, {score=0.14609499275684357, label=negative}]]",0.70781,Neutral
